duration,mmr,result,server,timestamp,top1type,jg1type,mid1type,ad1type,sup1type,top2type,jg2type,mid2type,ad2type,sup2type
662,Challenger,1,eune,2020/11/10 19:10,刺客,鬥士續戰型,法師爆發型,射手技能型,輔助保牌型,法師爆發型,刺客,刺客,射手技能型,輔助保牌型
662,Challenger,1,eune,2020/11/8 19:02,法師坦克型,刺客,刺客,射手強化型,輔助保牌型,鬥士全能型,法師爆發型,法師控制型,射手技能型,輔助保牌型
662,Challenger,1,eune,2020/11/5 23:23,鬥士全能型,刺客,法師爆發型,射手強化型,輔助保牌型,坦克開戰型,坦克開戰型,法師爆發型,射手增益型,輔助保牌型
662,Challenger,1,eune,2020/11/5 01:00,鬥士續戰型,刺客,鬥士全能型,射手技能型,輔助開戰型,刺客,刺客,法師坦克型,射手強化型,輔助保牌型
694,Challenger,1,las,2020/11/24 09:19,鬥士爆發型,法師控制型,刺客,射手技能型,輔助保牌型,法師坦克型,法師爆發型,鬥士全能型,射手強化型,輔助保牌型
694,Challenger,1,las,2020/11/24 08:12,法師坦克型,坦克開戰型,射手技能型,法師站樁型,法師爆發型,射手增益型,鬥士續戰型,刺客,射手技能型,射手強化型
703,Challenger,1,na,2020/12/5 10:25,鬥士全能型,刺客,坦克開戰型,射手技能型,輔助保牌型,法師坦克型,鬥士續戰型,法師爆發型,射手增益型,輔助保牌型
703,Challenger,1,na,2020/12/5 09:57,鬥士爆發型,法師控制型,法師控制型,射手技能型,輔助開戰型,刺客,射手技能型,刺客,射手增益型,輔助開戰型
703,Challenger,1,na,2020/12/5 09:27,鬥士全能型,刺客,法師拉打型,射手技能型,輔助開戰型,鬥士全能型,射手技能型,射手技能型,射手技能型,法師坦克型
703,Challenger,1,na,2020/12/5 08:46,鬥士全能型,法師爆發型,坦克開戰型,射手增益型,法師爆發型,鬥士爆發型,射手技能型,法師坦克型,射手技能型,輔助開戰型
703,Challenger,1,na,2020/12/5 08:19,鬥士全能型,坦克開戰型,刺客,射手技能型,輔助開戰型,法師坦克型,法師站樁型,坦克開戰型,射手技能型,輔助開戰型
703,Challenger,1,na,2020/12/5 07:40,鬥士續戰型,射手增益型,刺客,射手增益型,輔助開戰型,鬥士爆發型,坦克開戰型,刺客,法師爆發型,輔助開戰型
703,Challenger,1,na,2020/12/5 07:01,鬥士全能型,射手技能型,刺客,射手增益型,坦克開戰型,鬥士爆發型,鬥士續戰型,法師站樁型,射手技能型,輔助開戰型
703,Challenger,1,na,2020/12/3 10:33,鬥士續戰型,法師控制型,射手技能型,鬥士全能型,坦克開戰型,鬥士爆發型,刺客,鬥士全能型,射手技能型,輔助保牌型
703,Challenger,1,na,2020/12/3 09:49,鬥士全能型,法師控制型,法師站樁型,射手技能型,坦克開戰型,鬥士爆發型,坦克開戰型,法師站樁型,射手技能型,輔助保牌型
717,Challenger,1,na,2020/11/25 07:01,鬥士全能型,刺客,法師坦克型,射手技能型,輔助開戰型,鬥士爆發型,射手技能型,法師站樁型,射手增益型,輔助保牌型
717,Challenger,1,na,2020/11/22 09:59,鬥士爆發型,鬥士續戰型,法師拉打型,射手強化型,輔助開戰型,鬥士爆發型,坦克開戰型,法師坦克型,射手技能型,法師爆發型
717,Challenger,1,na,2020/11/21 18:40,鬥士全能型,鬥士全能型,刺客,射手強化型,輔助保牌型,刺客,射手技能型,法師爆發型,射手技能型,坦克阻擋型
717,Challenger,1,na,2020/11/21 17:44,刺客,刺客,坦克開戰型,射手技能型,法師爆發型,法師坦克型,射手技能型,法師爆發型,射手強化型,輔助開戰型
717,Challenger,1,na,2020/11/20 20:46,法師爆發型,射手技能型,刺客,射手強化型,輔助開戰型,法師拉打型,鬥士爆發型,法師站樁型,射手技能型,法師爆發型
717,Challenger,1,na,2020/11/20 11:02,鬥士爆發型,法師爆發型,刺客,射手技能型,輔助開戰型,鬥士爆發型,法師控制型,坦克開戰型,射手技能型,輔助保牌型
717,Challenger,1,na,2020/11/20 08:54,鬥士爆發型,法師站樁型,刺客,法師控制型,鬥士爆發型,鬥士全能型,坦克開戰型,法師爆發型,射手技能型,輔助保牌型
717,Challenger,1,na,2020/11/18 14:00,鬥士續戰型,刺客,法師坦克型,射手技能型,輔助保牌型,鬥士全能型,刺客,刺客,法師坦克型,刺客
717,Challenger,1,na,2020/11/9 16:27,鬥士全能型,坦克開戰型,法師坦克型,射手增益型,坦克開戰型,射手強化型,鬥士續戰型,刺客,法師爆發型,鬥士爆發型
718,Grandmaster,1,oce,2020/11/9 20:27,鬥士全能型,法師爆發型,法師坦克型,射手增益型,輔助保牌型,鬥士全能型,刺客,法師爆發型,射手技能型,坦克開戰型
718,Grandmaster,1,oce,2020/11/9 19:40,鬥士全能型,鬥士續戰型,輔助保牌型,法師爆發型,輔助開戰型,鬥士全能型,法師爆發型,刺客,射手增益型,輔助開戰型
718,Grandmaster,1,oce,2020/11/9 18:50,坦克阻擋型,法師控制型,鬥士全能型,射手技能型,輔助開戰型,鬥士全能型,刺客,刺客,射手技能型,坦克開戰型
718,Grandmaster,1,oce,2020/11/9 18:10,射手技能型,坦克開戰型,法師坦克型,射手技能型,坦克開戰型,鬥士續戰型,鬥士爆發型,法師控制型,射手技能型,輔助保牌型
718,Grandmaster,1,oce,2020/11/9 17:19,鬥士全能型,射手增益型,法師控制型,射手技能型,坦克開戰型,鬥士爆發型,鬥士續戰型,法師坦克型,射手技能型,輔助開戰型
718,Grandmaster,1,oce,2020/11/9 16:35,鬥士續戰型,坦克開戰型,法師坦克型,射手技能型,坦克開戰型,坦克阻擋型,坦克開戰型,法師控制型,射手技能型,輔助保牌型
